law,old_unit_id,new_unit_id,old_sha256,new_sha256,old_words,new_words
21538,utt_fe7234a44c91cc4364e2::p0003s002-p0004,utt_fe7234a44c91cc4364e2::p0003s002-p0004,dd323d25017e9e2589054c7d5cd8444c67d82cbf211e94470edc8db35b7791f1,dd323d25017e9e2589054c7d5cd8444c67d82cbf211e94470edc8db35b7791f1,63,63
21538,utt_fe7234a44c91cc4364e2::p0005-p0006,utt_fe7234a44c91cc4364e2::p0005-p0006,336e4b2527825219dc0fff83396001dc748f93e9c601791645aa2470f07c662d,336e4b2527825219dc0fff83396001dc748f93e9c601791645aa2470f07c662d,148,148
21538,utt_fe7234a44c91cc4364e2::p0007,utt_fe7234a44c91cc4364e2::p0007,ba548004b114ec8da93e027aa2876e1e4493a1680bdc259eba1873b67589d846,ba548004b114ec8da93e027aa2876e1e4493a1680bdc259eba1873b67589d846,76,76
21538,utt_05e466083771a13b24a2::p0001,utt_05e466083771a13b24a2::p0001,35e39de5d3449bf891e89f772221a637ef237e7349e96908cfa356a7a017c6c6,35e39de5d3449bf891e89f772221a637ef237e7349e96908cfa356a7a017c6c6,26,26
21538,utt_b5ccec491065d9bff1db::p0001-p0002,utt_b5ccec491065d9bff1db::p0001-p0002,0bd2bf561ff214966535a2ae299f8f9031a36af8ba18f8b2b78d8b06d37a09ab,0bd2bf561ff214966535a2ae299f8f9031a36af8ba18f8b2b78d8b06d37a09ab,87,87
21538,utt_857fc9c45f78bb159c68::p0001-p0003,utt_857fc9c45f78bb159c68::p0001-p0003,a017f93ebc8a3c56122049f96894e893fe3b3f8d650383235cd5cfd63aef54bf,a017f93ebc8a3c56122049f96894e893fe3b3f8d650383235cd5cfd63aef54bf,34,34
21538,utt_f8464c8e40dd356a6393::p0001-p0002,utt_f8464c8e40dd356a6393::p0001-p0003s001,3d69d54e25bae2a5a7410d1f17a5a32e88865a5a4788da94e17cb02c850bde36,610282a70f0dab1c072e67186038a85be53f43abc27c713652a5326a3af21d11,5,155
21538,utt_f8464c8e40dd356a6393::p0003s001,utt_f8464c8e40dd356a6393::p0001-p0003s001,53ff878fd867bb8cf2c6bb2532d77ad9d9159aca7a8fff98837804018070579d,610282a70f0dab1c072e67186038a85be53f43abc27c713652a5326a3af21d11,150,155
21538,utt_f8464c8e40dd356a6393::p0003s002,utt_f8464c8e40dd356a6393::p0003s002,3e2f15616760214d6b94838994b620b317e193a5e7e7c902421a05adfd2b18ee,3e2f15616760214d6b94838994b620b317e193a5e7e7c902421a05adfd2b18ee,150,150
21538,utt_f8464c8e40dd356a6393::p0003s003-p0007,utt_f8464c8e40dd356a6393::p0003s003-p0007,db98c35667dfae1aa29a7b309a004b617831148c12a26c8a4a13db3659c67851,db98c35667dfae1aa29a7b309a004b617831148c12a26c8a4a13db3659c67851,137,137
21538,utt_ff72858e9e7cb82db15b::p0001,utt_ff72858e9e7cb82db15b::p0001,6e8c6dc93075533bcbdee197ceee839d8123c8f9408bf1098fc33443b4a96310,6e8c6dc93075533bcbdee197ceee839d8123c8f9408bf1098fc33443b4a96310,5,5
21538,utt_d0b889a2d0191fecf912::p0001-p0004,utt_d0b889a2d0191fecf912::p0001-p0004,c08c7e8c71e93c9d2a08749d02235d02a7fabeca3ae36524c67236d1f5f89df7,c08c7e8c71e93c9d2a08749d02235d02a7fabeca3ae36524c67236d1f5f89df7,131,131
