username;link;party;location;function;since;until
jeroenolthof;twitter.com/jeroenolthof;pvda;;;;
WimRill;twitter.com/WimRill;gl;kampen;;;
marckiel;twitter.com/marckiel;vvd;wageningen;;;
rengelink;twitter.com/rengelink;pvda;amsterdam;;;
ranaberends;twitter.com/ranaberends;gl;zwolle;;;2013
jtpgubbens;twitter.com/jtpgubbens;d66;;;;
jmosinga;twitter.com/jmosinga;vvd;;;;
rudyaernoudt;twitter.com/rudyaernoudt;;;;;
pvpbrussels;twitter.com/pvpbrussels;;;;;
jacquelinepvda;twitter.com/jacquelinepvda;pvda;dordrecht;;;
Rtkrk;twitter.com/Rtkrk;gl;tynaarlo;;;
sebastiaanvliet;twitter.com/sebastiaanvliet;jong wbs;;;;2017
jvandendonk;twitter.com/jvandendonk;pvda;;;;
Hejer1;twitter.com/Hejer1;;;;;
BramBoriau;twitter.com/BramBoriau;spa;be;;;
pdegrauwe;twitter.com/pdegrauwe;;;;;
ggroeneweg;twitter.com/ggroeneweg;pvda;bergen op zoom;;;2010
rondekort;twitter.com/rondekort;pvda;;;;
AnitaVlam;twitter.com/AnitaVlam;vvd;;;;
navverheul;twitter.com/navverheul;gl;;;;
MariannevdT;twitter.com/MariannevdT;d66;;;;
HarrieMiedema;twitter.com/HarrieMiedema;gl;;;;
tijs_de_bree;twitter.com/tijs_de_bree;pvda;;;;
IrenevanHooff;twitter.com/IrenevanHooff;vvd;;;;
NurettinAltunda;twitter.com/NurettinAltunda;sp;;;;
berendpotjer;twitter.com/berendpotjer;gl;;;;
rverleisdonk;twitter.com/rverleisdonk;d66;;;;
rientje1;twitter.com/rientje1;sp;;;;
BenPaulides;twitter.com/BenPaulides;nederland-lokaal;;;;
CarinaNieuw;twitter.com/CarinaNieuw;pvda;;;;
madamiesen;twitter.com/madamiesen;vvd;;;;
hermannijskens;twitter.com/hermannijskens;vvd;;;;
LeanderBroere;twitter.com/LeanderBroere;pvda;;;;
MoniqueSparla;twitter.com/MoniqueSparla;vp;;;;
Pieter_Kroon;twitter.com/Pieter_Kroon;gp;;;;
PaulHaseloop;twitter.com/PaulHaseloop;vvd;;;;
willemdejager67;twitter.com/willemdejager67;pvda;;;;
ElsGroenLinks;twitter.com/ElsGroenLinks;gl;;;;
sentwierda;twitter.com/sentwierda;psp'92-gelderland;;;;
Lammers_Ruud;twitter.com/Lammers_Ruud;vp;;;;
YurreWieken;twitter.com/YurreWieken;sp;;;;
Robertdewit1990;twitter.com/Robertdewit1990;cda;;;;
AlwinHietbrink;twitter.com/AlwinHietbrink;gl;;;;
leenvandijke;twitter.com/leenvandijke;cu;;;;
nstrolenberg;twitter.com/nstrolenberg;d66;;;;
patricbrunklaus;twitter.com/patricbrunklaus;gl;;;;
de_willem;twitter.com/de_willem;pvda;;;;
AylaSchneiders;twitter.com/AylaSchneiders;d66;;;;
Maaikytje;twitter.com/Maaikytje;sp;;;;
Toubke;twitter.com/Toubke;gl;;;;
cjvankranenburg;twitter.com/cjvankranenburg;cu;;;;
MariekeWilschut;twitter.com/MariekeWilschut;pvdd;;;;
pvlutters;twitter.com/pvlutters;gl;;;;
MennoSiljee;twitter.com/MennoSiljee;pvda;;;;
Wout_Jansen;twitter.com/Wout_Jansen;50plus;;;;
FrankPKuijpers;twitter.com/FrankPKuijpers;cda;;;;
harroboven;twitter.com/harroboven;d66;;;;
EVDB21;twitter.com/EVDB21;sp;;;;
MichelKleinCU;twitter.com/MichelKleinCU;cu;;;;
JanAtzeNicolai;twitter.com/JanAtzeNicolai;gl;;;;
aukelienjellema;twitter.com/aukelienjellema;pvda;;;;
henk_zandvliet;twitter.com/henk_zandvliet;gl;;;;
groeneveldm;twitter.com/groeneveldm;vvd;;;;
AntoonKanis;twitter.com/AntoonKanis;d66;;;;
GerwiTemmink;twitter.com/GerwiTemmink;gl;;;;
BaertedeBrey;twitter.com/BaertedeBrey;vvd;;;;
ramonbarends;twitter.com/ramonbarends;lokaal-in-de-kamer;;;;
LiaFlikweert;twitter.com/LiaFlikweert;partij-voor-zeeland;;;;
mldepijper;twitter.com/mldepijper;sp;;;;
H_Vreugdenhil;twitter.com/H_Vreugdenhil;cu;;;;
Zita_Pels;twitter.com/Zita_Pels;gl;;;;
rijnders_k;twitter.com/rijnders_k;vrije-politiek;;;;
BWijnne;twitter.com/BWijnne;sgp;;;;
karinjeurink;twitter.com/karinjeurink;pvda;;;;
JanetDuursma;twitter.com/JanetDuursma;gl;;;;
DolfVink;twitter.com/DolfVink;vvd;;;;
YvonnedeJager;twitter.com/YvonnedeJager;pvda;;;;
DennisWanningen;twitter.com/DennisWanningen;vvd;;;;
LammertvanRaan;twitter.com/LammertvanRaan;pvdd;;;;
Huri_Sahin;twitter.com/Huri_Sahin;gl;;;;
Arne_Verbrugh;twitter.com/Arne_Verbrugh;lp;;;;
mosjemeijler;twitter.com/mosjemeijler;sp;;;;
RenevanderKruk;twitter.com/RenevanderKruk;pvdd;;;;
PLPSFransen;twitter.com/PLPSFransen;gl;;;;
gerdakoopman;twitter.com/gerdakoopman;gl;;;;
HMeendering;twitter.com/HMeendering;gl;;;;
JanvandeVen81;twitter.com/JanvandeVen81;d66;;;;
roelsint;twitter.com/roelsint;sp;;;;
GertOldambt;twitter.com/GertOldambt;pvda;;;;
HaroldHofstra;twitter.com/HaroldHofstra;cu;;;;
annebethpvda;twitter.com/annebethpvda;pvda;;;;
hermendegraaf;twitter.com/hermendegraaf;cda;;;;
KlaassenSuzanne;twitter.com/KlaassenSuzanne;d66;;;;
HiltjeKeller;twitter.com/HiltjeKeller;pvdd;;;;
JuanvanGinkel;twitter.com/JuanvanGinkel;libertarische-partij;;;;
chrisubels;twitter.com/chrisubels;vvd;;;;
Dijkstra_Laura;twitter.com/Dijkstra_Laura;vvd;;;;
GerritJanBroeze;twitter.com/GerritJanBroeze;gl;;;;
LFBervoets;twitter.com/LFBervoets;de-burger-beweging;;;;
JoranTibor;twitter.com/JoranTibor;pp;;;;
WassenbergFrank;twitter.com/WassenbergFrank;pvdd;;;;
MarcelOosterbos;twitter.com/MarcelOosterbos;gl;;;;
inekehendrickx;twitter.com/inekehendrickx;gl;;;;
wmetselaar;twitter.com/wmetselaar;sp;;;;
Matthijs85;twitter.com/Matthijs85;pp;;;;
MientHamstra;twitter.com/MientHamstra;d66;;;;
